config_id,ks,bits,bound_exactH,bound_calibH,bound_pctH,err_max,err_mean,rho_mean_exactH,rho_max_exactH,violrate_exactH,violrate_calibH,violrate_pctH,mode
23,7|32|32|64|192|26|26|128|128|51|512|512|512|51|1,2|8|3|6|6|2|5|2|4|2|2|6|2|3|3,7441179187.92469,7209047262.402458,7106687288.495124,11.905471801757812,9.681690216064453,1.3010963417769972e-09,1.599944288166455e-09,0.0,0.0,0.0,op_decomposed
24,3|48|32|13|26|256|192|512|51|256|51|128|51|256|5,5|3|2|6|5|2|6|2|8|5|3|4|4|8|5,3693893279.9750566,3490723364.957661,3448252700.5041723,12.06067180633545,9.633993148803711,2.6080861914579145e-09,3.2650298020797663e-09,0.0,0.0,0.0,op_decomposed
25,27|16|32|13|64|64|128|512|256|51|512|384|128|51|8,8|5|6|6|4|8|4|5|8|4|3|6|8|2|5,825827306.4362988,750622938.5577365,741662586.173549,11.862321853637695,8.955289840698242,1.0844020792433184e-08,1.4364167633118541e-08,0.0,0.0,0.0,op_decomposed
26,3|32|13|128|128|64|64|384|256|512|256|256|512|512|2,8|4|5|8|5|8|2|2|6|3|8|4|3|3|3,2496246035.5900054,2380211252.0112076,2346996398.91693,11.85745620727539,9.663555145263672,3.871234888208619e-09,4.750115412122113e-09,0.0,0.0,0.0,op_decomposed
27,20|48|128|96|26|192|256|384|51|128|384|51|256|128|8,6|5|6|6|2|2|5|4|4|5|2|5|3|6|8,713924136.638296,672471252.5310183,663249827.2255207,12.634688377380371,9.571382522583008,1.3406722843001262e-08,1.7697521670356764e-08,0.0,0.0,0.0,op_decomposed
28,3|16|13|96|192|128|26|128|51|51|512|512|51|128|1,6|8|3|4|4|8|3|2|5|5|8|2|2|4|5,2823292328.994014,2686766148.957743,2651434265.355619,11.896403312683105,9.682893753051758,3.429645900610012e-09,4.213663196139805e-09,0.0,0.0,0.0,op_decomposed
29,3|32|32|128|128|26|64|256|51|51|51|128|256|512|5,4|6|2|8|8|6|8|5|8|8|5|8|5|4|6,3652048257.7902536,3500331091.5599446,3453998146.8972025,11.91263484954834,9.257598876953125,2.5349058407897473e-09,3.2619049683546564e-09,0.0,0.0,0.0,op_decomposed
30,7|16|96|128|128|26|64|128|256|256|256|256|51|256|10,2|2|4|3|3|6|4|4|5|6|3|4|2|5|8,9617614385.730024,9121766524.046003,8993556581.483463,11.947696685791016,9.46940803527832,9.845900761362714e-10,1.2422722850402579e-09,0.0,0.0,0.0,op_decomposed
31,7|6|64|32|256|26|128|384|256|256|384|51|51|512|8,5|4|4|2|5|2|8|5|5|2|4|4|8|8|3,2546116777.7965636,2365624726.7295885,2334241820.719046,12.904593467712402,9.72795581817627,3.8207028651982e-09,5.0683430785625205e-09,0.0,0.0,0.0,op_decomposed
32,7|64|96|13|26|26|64|128|51|384|51|51|384|512|10,4|5|5|6|8|8|3|5|2|4|3|4|6|3|5,1922071276.8482268,1847069403.5456893,1822186577.8612056,12.492034912109375,8.911870956420898,4.63659777238945e-09,6.499256688385913e-09,0.0,0.0,0.0,op_decomposed
33,7|32|13|13|26|256|192|128|51|384|384|256|128|51|2,6|3|2|3|5|5|4|6|3|2|6|5|3|6|5,2268191973.240511,2072216343.599917,2051183100.38647,11.83804988861084,9.662960052490234,4.260203745332092e-09,5.2191566624060215e-09,0.0,0.0,0.0,op_decomposed
34,20|64|96|64|192|192|64|512|512|128|51|256|256|256|1,6|3|4|6|3|5|6|4|8|8|5|2|2|6|2,1689982643.0541317,1545645295.5736914,1525967024.820347,11.905029296875,9.6732177734375,5.72385605579484e-09,7.044468564032513e-09,0.0,0.0,0.0,op_decomposed
35,3|16|32|13|128|26|192|256|128|128|384|256|512|384|10,6|2|6|2|8|6|6|2|8|5|3|4|6|6|5,4096152909.801574,3843200100.3476954,3790669478.3123693,12.856001853942871,9.61146354675293,2.3464612475265767e-09,3.138555193515913e-09,0.0,0.0,0.0,op_decomposed
36,20|48|128|128|64|26|26|128|256|512|512|256|256|51|8,4|4|5|5|5|2|3|8|3|3|4|8|4|2|2,1945492141.380353,1855071020.6041937,1830924663.952088,11.805306434631348,9.468727111816406,4.867008573938847e-09,6.068030966588367e-09,0.0,0.0,0.0,op_decomposed
37,20|48|32|96|256|26|64|256|384|51|512|384|384|384|1,2|5|3|2|2|6|6|3|8|4|2|8|6|8|4,7777102466.755021,7511756304.432633,7407074663.285882,11.93382740020752,9.678080558776855,1.244432668023876e-09,1.5344825410323892e-09,0.0,0.0,0.0,op_decomposed
38,7|48|96|13|26|256|192|512|256|51|512|256|128|384|5,8|8|2|6|3|2|5|5|4|3|5|4|8|2|2,1024942627.4554164,945146098.166126,937487594.5011259,12.091986656188965,9.637939453125,9.403392731144322e-09,1.1797720134154588e-08,0.0,0.0,0.0,op_decomposed
39,3|48|64|13|256|256|256|128|128|51|512|512|384|512|5,2|3|5|6|5|2|2|5|2|2|5|3|8|2|5,9495672307.990488,9150653284.080399,9018281627.323084,12.44754695892334,9.679977416992188,1.0194094457460778e-09,1.3108653051929764e-09,0.0,0.0,0.0,op_decomposed
