config_id,ks,bits,bound_exactH,bound_calibH,bound_pctH,err_max,err_mean,rho_mean_exactH,rho_max_exactH,violrate_exactH,violrate_calibH,violrate_pctH,mode
22,27|32|128|32|256|256|256|5,5|2|6|5|4|6|3|4,60092.184069941366,58181.51001721017,57182.875011103984,47.009822845458984,19.682830810546875,0.00032754396670497954,0.0007822951301932335,0.0,0.0,0.0,op_decomposed
23,7|16|32|13|256|128|192|1,2|8|3|3|2|2|8|6,156904.9985325939,143318.85224847106,141225.4725786029,46.514671325683594,20.116168975830078,0.0001282060402445495,0.00029645118047483265,0.0,0.0,0.0,op_decomposed
24,20|64|64|128|64|64|256|8,6|4|5|5|8|8|8|4,24204.273533562555,23410.787111526257,22929.649067585822,34.62271499633789,12.995301246643066,0.0005369011196307838,0.001430438132956624,0.0,0.0,0.0,op_decomposed
25,3|32|128|13|192|256|128|2,3|2|8|4|2|8|3|4,126655.08414660516,112812.60890249803,111845.07374499316,46.542457580566406,20.12717056274414,0.0001589132152730599,0.00036747404374182224,0.0,0.0,0.0,op_decomposed
26,7|32|96|13|26|64|64|1,6|8|6|6|8|2|2|2,98347.65314892148,88569.5398573733,87269.72312662943,46.511714935302734,20.116779327392578,0.00020454762852750719,0.0004729315987788141,0.0,0.0,0.0,op_decomposed
27,7|64|128|13|192|26|128|1,2|6|2|3|3|8|2|5,132496.40437445135,120321.8030789317,118808.9548737531,46.51247787475586,20.112640380859375,0.0001517976343166083,0.00035104708513244987,0.0,0.0,0.0,op_decomposed
28,7|6|13|128|192|256|26|5,2|3|2|8|4|4|5|3,162225.81112314656,147645.44374387714,145549.59071513443,47.01609420776367,19.984634399414062,0.0001231902278959751,0.00028981882496736944,0.0,0.0,0.0,op_decomposed
29,3|64|96|13|256|26|192|2,4|4|8|5|6|3|8|8,91972.13780194522,82761.31923356585,81895.21327359663,47.32218551635742,20.02895736694336,0.0002177720016334206,0.000514527375344187,0.0,0.0,0.0,op_decomposed
30,7|6|32|32|128|256|128|1,6|5|8|3|2|5|8|5,112477.82312740195,101260.29784879141,100040.65651006506,46.504886627197266,20.10393524169922,0.00017873688193503767,0.00041345827048644423,0.0,0.0,0.0,op_decomposed
31,27|64|64|64|192|128|64|10,8|2|5|8|2|4|8|2,38685.04843623927,37458.19165047554,36770.42455295206,45.99101257324219,19.57330322265625,0.0005059655522927642,0.0011888575972989202,0.0,0.0,0.0,op_decomposed
32,27|32|32|32|192|128|256|5,8|4|6|8|6|3|8|4,40297.026627457395,39452.36966496581,38767.347707778,35.582942962646484,15.916513442993164,0.0003949798410758376,0.0008830165606923401,0.0,0.0,0.0,op_decomposed
33,20|48|13|13|256|64|128|2,3|3|8|5|5|8|8|6,77155.97586613966,72567.1132692048,71795.96415442039,46.17770767211914,19.936317443847656,0.0002583898021839559,0.0005984981544315815,0.0,0.0,0.0,op_decomposed
34,20|6|96|128|192|26|64|8,2|4|8|3|5|6|5|6,116301.86179827336,106900.79332186509,105821.42196926383,46.69203186035156,19.933311462402344,0.00017139286501333117,0.0004014727892354131,0.0,0.0,0.0,op_decomposed
35,27|6|13|96|128|128|192|1,5|3|6|8|2|8|3|2,57803.37448749789,55859.68077086744,55020.347344030706,46.5133171081543,20.098491668701172,0.0003477044519968331,0.0008046816801652312,0.0,0.0,0.0,op_decomposed
36,20|48|64|13|64|26|26|10,6|2|3|2|6|8|3|4,57641.4095292862,56144.325037418595,55132.88717163398,46.624176025390625,19.910734176635742,0.00034542413777671754,0.0008088659960776567,0.0,0.0,0.0,op_decomposed
37,14|16|13|96|192|26|26|5,5|2|4|3|8|6|8|8,101209.20386771191,93959.14180403468,93227.67108050105,46.31367111206055,19.953845977783203,0.00019715445523615927,0.0004576033679768443,0.0,0.0,0.0,op_decomposed
38,14|6|32|64|26|26|26|2,8|4|6|4|4|6|2|8,76563.04562184923,70773.04763164792,70159.28011017038,46.570674896240234,20.107032775878906,0.00026262059691362083,0.0006082656909711659,0.0,0.0,0.0,op_decomposed
39,27|48|96|96|128|256|64|2,5|6|4|2|3|3|4|4,28629.860529645102,28360.152927014282,27884.815994738336,45.93217849731445,20.08063507080078,0.0007013878785073757,0.0016043451614677906,0.0,0.0,0.0,op_decomposed
